"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"PROD_ID";"SF_ID";"VALUE";
"RF-";"LINX-SMA-EDGE-0.062";"LINX-SMA-EDGE-0.062";"CONSMA003.062";"CONN SMA JACK 50 OHM EDGE MNT";"CONSMA003.062-ND";"";"";"";
"U$1";"THS7530TSSOP14_LONG";"THS7530TSSOP14_LONG";"TSSOP14_LONG";"";"";"";"";"";
"U$2";"THS5661ASOIC28";"THS5661ASOIC28";"SOIC-28";"";"";"";"";"";
"U$3";"LTC5562LONG";"LTC5562LONG";"QFN_10_2X2MM_05-08-1534_LONG";"LF–7GHz";"";"";"";"";
"U$4";"";"THS4011SOIC8-EPAD";"SO-08";"";"";"";"";"";
"U$5";"VISHAY_ACAS_0606_AT";"VISHAY_ACAS_0606_AT";"VISHAY_ACAS0606AT";"";"";"";"";"";
"U1";"LTC2251HVQFN32_L";"LTC2251HVQFN32_L";"HVQFN32_LONG";"LTC2251 125MSPS Pipelined ADC";"";"";"";"";
"U2";"MCP4725";"MCP4725SOT-23";"SOT23-6";"MCP4725 DAC";"";"IC-08886";"";"MCP4725";
"U3";"MCP1703CB";"MCP1703CB";"SOT23";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";"";"";"";
"U4";"MCP1703CB";"MCP1703CB";"SOT23";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";"";"";"";
"U5";"MCP4725";"MCP4725SOT-23";"SOT23-6";"MCP4725 DAC";"";"IC-08886";"";"MCP4725";
